Salon_BusinessID,Permit_Number,SalonName,Salon St No,SalonStName,Salon St Ext,Salon Neighborhood,Salon State,Salon Zip,Salon Closed,Services Nails,Services Tanning,Services Hair,Services Spa,Services Wax,Services Other,Number Tables,Number Baths,Salon_First_Visit,Salon_Last_Visit,Permit Start,Permit End,Application Date,Application Type,Previous Permit,Permit_Use and Occupancy,Permit_Flammable Storage,Permit_Salon BOC License,Permit_Cosmetologist Licenses,Permit_Ventilation,Permit_Work with BPHC,Permit Fee,Date Passed Inspection
854,2014N-00064,MTV Hair & Nail Salon,107,Savin Hill,AV,North Dorchester,MA,2125,0,1,1,1,0,1,,2,2,02/14/2012 12:00:00 AM,,05/04/2014 12:00:00 AM,05/04/2015 12:00:00 AM,04/07/2014 12:00:00 AM,Renewal,2013N-00049,1,1,1,1,1,0,100,05/01/2013 12:00:00 AM
855,2011N-00059,Fantasy Nails,564,Columbia,RD,North Dorchester,MA,2125,0,1,0,0,0,0,,6,4,01/24/2012 12:00:00 AM,01/10/2013 12:00:00 AM,01/24/2012 12:00:00 AM,01/23/2013 12:00:00 AM,11/02/2011 12:00:00 AM,New,2011N-00059,1,1,1,1,1,0,220,01/10/2013 12:00:00 AM
855,2013N-00004,Fantasy Nails,564,Columbia,RD,North Dorchester,MA,2125,0,1,0,0,0,0,,6,4,01/24/2012 12:00:00 AM,01/10/2013 12:00:00 AM,01/10/2013 12:00:00 AM,01/10/2014 12:00:00 AM,12/22/2012 12:00:00 AM,Renewal,2011N-00059,1,1,1,1,1,0,220,01/10/2013 12:00:00 AM
855,2014N-00007,Fantasy Nails,564,Columbia,RD,North Dorchester,MA,2125,0,1,0,0,0,0,,6,4,01/24/2012 12:00:00 AM,01/10/2013 12:00:00 AM,01/11/2014 12:00:00 AM,01/11/2015 12:00:00 AM,01/15/2014 12:00:00 AM,Renewal,2011N-00059,1,1,1,1,1,0,220,01/10/2013 12:00:00 AM
856,2011N-00034,T & T Nails,725,Dudley,ST,North Dorchester,MA,2125,0,1,0,0,0,0,,3,3,,12/31/2012 12:00:00 AM,10/21/2011 12:00:00 AM,10/20/2012 12:00:00 AM,09/28/2011 12:00:00 AM,New,2011N-00034,1,1,1,1,1,0,140,10/31/2012 12:00:00 AM
856,2012N-00114,T & T Nails,725,Dudley,ST,North Dorchester,MA,2125,0,1,0,0,0,0,,3,3,,12/31/2012 12:00:00 AM,10/31/2012 12:00:00 AM,10/31/2013 12:00:00 AM,10/17/2012 12:00:00 AM,Renewal,2011N-00034,1,1,1,1,1,0,140,10/31/2012 12:00:00 AM
856,2013N-00144,T & T Nails,725,Dudley,ST,North Dorchester,MA,2125,0,1,0,0,0,0,,4,3,,12/31/2012 12:00:00 AM,11/01/2013 12:00:00 AM,11/01/2014 12:00:00 AM,11/01/2013 12:00:00 AM,Renewal,,1,1,1,1,1,0,160,10/31/2012 12:00:00 AM
856,2014N-00148,T & T Nails,725,Dudley,ST,North Dorchester,MA,2125,0,1,0,0,0,0,,4,3,,12/31/2012 12:00:00 AM,11/02/2014 12:00:00 AM,11/02/2015 12:00:00 AM,10/28/2014 12:00:00 AM,Renewal,2013N-00144,0,0,1,1,0,0,160,
858,2011N-00054,DJ Nails,1194,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,0,,6,4,11/17/2011 12:00:00 AM,,11/17/2011 12:00:00 AM,11/16/2012 12:00:00 AM,10/31/2011 12:00:00 AM,New,2011N-00054,1,1,1,1,1,1,220,11/20/2012 12:00:00 AM
858,2012N-00133,DJ Nails,1194,Blue Hill,AV,Mattapan,MA,2126,0,1,0,0,0,0,,6,4,11/17/2011 12:00:00 AM,,11/15/2012 12:00:00 AM,11/16/2013 12:00:00 AM,11/15/2012 12:00:00 AM,Renewal,,0,1,1,1,0,0,220,11/20/2012 12:00:00 AM
